PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
GA1850055,GREENBRIAR ESTATES,Community water system,Ground water,Lowndes,VALDOSTA,88,7,14,5
GA1030160,GREENBRIAR SUBDIVISION,Community water system,Ground water,Effingham,,78,4,1,1
GA1330065,GREENE HILLS SUBDIVISION,Community water system,Ground water,Greene,,70,8,13,4
GA0690037,GREENETREE LAKES,Community water system,Ground water,Coffee,BROXTON,247,6,5,4
GA0710089,GREENFIELD MHP,Community water system,Ground water,Colquitt,MOULTRIE,73,5,6,4
GA0690077,GREENFIELD SUBDIVISION,Community water system,Ground water,Coffee,,44,5,1,4
GA1330000,GREENSBORO,Community water system,Surface water,Greene,GREENSBORO,"3,156",4,11,24
GA1990000,GREENVILLE,Community water system,Surface water purchased,Meriwether,GREENVILLE,"1,806",11,16,9
GA2550000,GRIFFIN,Community water system,Surface water,Spalding,GRIFFIN,"23,643",18,14,37
GA2250003,GROVE ESTATES MHP,Community water system,Ground water,Peach,,156,9,38,6
GA0510012,GROVE HILL SUBDIVISION,Community water system,Ground water,Chatham,,286,4,1,5
GA0310016,GROVE LAKES SUBDIVISION,Community water system,Ground water,Bulloch,,855,6,11,6
GA0690036,GROVE PARK MOBILE HOME PARK,Community water system,Ground water,Coffee,,239,8,60,6
GA0510113,GROVE POINT MOBILE ESTATES,Community water system,Ground water,Chatham,,206,5,4,5
GA0730001,GROVETOWN,Community water system,Surface water purchased,Columbia,GROVETOWN,"13,943",18,22,5
GA1850050,GSP SCHROER ESTATES,Community water system,Ground water,Lowndes,LAKE PARK,281,5,15,4
GA1030000,GUYTON,Community water system,Ground water,Effingham,GUYTON,"2,394",8,7,7
GA1350004,GWINNETT CO. DEPT. OF WATER RESOURCES,Community water system,Surface water,Gwinnett,BUFORD,"975,000",6,7,17
GA1090003,HAGAN,Community water system,Ground water,Evans,HAGAN,"1,404",10,16,7
GA1850000,HAHIRA,Community water system,Ground water,Lowndes,HAHIRA,"3,562",8,32,4
GA1790125,HALFMOON VILLAS & MARINA,Community water system,Ground water,Liberty,HINESVILLE,252,6,34,5
GA0590004,HALLMARK MANUFACTURED HOUSING COMMUNITY,Community water system,Ground water,Clarke,ATHENS,723,6,15,7
GA1450000,HAMILTON,Community water system,Ground water,Harris,HAMILTON,"1,386",10,19,10
GA1910116,HAMMOCKS AT SAPELO,Community water system,Ground water,McIntosh,,83,5,0,1
GA1510000,HAMPTON,Community water system,Surface water purchased,Henry,HAMPTON,"7,305",11,25,6
GA1030116,HAMPTON CREEK SUBDIVISION,Community water system,Ground water,Effingham,,146,6,5,6
GA1850293,HAMPTON MEADOWS,Community water system,Ground water,Lowndes,VALDOSTA,210,4,17,7
GA1410019,HANCOCK CO-GA15E/DEVEREAU WS,Community water system,Surface water purchased,Hancock,SPARTA,"1,269",7,31,6
GA1870098,HANNAH`S CROSSING SUBDIVISION,Community water system,Ground water,Lumpkin,,57,3,0,2
GA1210006,HAPEVILLE,Community water system,Surface water purchased,Fulton,HAPEVILLE,"5,790",4,13,6
GA0250020,HAPPY LANDING FISHING CLUB,Community water system,Ground water,Brantley,,148,4,0,4
GA1430007,HARALSON COUNTY WATER AUTHORITY,Community water system,Surface water,Haralson,BUCHANAN,"12,220",11,16,28
GA1330052,HARBOR CLUB ON LAKE OCONEE,Community water system,Ground water,Greene,,"1,248",10,4,6
GA0510030,HARBOUR CREEK SUBDIVISION,Community water system,Ground water,Chatham,SAVANNAH,543,8,13,6
GA0170002,HARGETT TRAILER PARK,Community water system,Ground water,Ben Hill,,31,6,9,8
GA1450011,HARRIS COUNTY WATER SYSTEM,Community water system,Surface water,Harris,CATAULA,"22,922",10,12,28
GA3030002,HARRISON,Community water system,Ground water,Washington,HARRISON,401,8,22,7
GA1950073,HARRISON MILITIA DISTRICT,Community water system,Ground water purchased,Madison,DANIELSVILLE,283,3,0,1
GA2190060,HARROWFORD SUBDIVISION,Community water system,Ground water,Oconee,WATKINSVILLE,88,6,5,4
GA1470065,HART CO. WATER & SEWER AUTH.,Community water system,Surface water purchased,Hart,,"5,637",6,4,10
GA2350000,HARTFORD WATER AUTHORITY,Community water system,Ground water,Pulaski,HAWKINSVILLE,461,6,15,6
GA1470000,HARTWELL,Community water system,Surface water,Hart,HARTWELL,"7,116",4,6,30
GA0710091,HAVEN HILL ESTATES MHP,Community water system,Ground water,Colquitt,,315,6,9,6
GA1270173,HAVENWOOD MH COMMUNITY,Community water system,Ground water,Glynn,BRUNSWICK,94,4,1,5
GA1030088,HAWK HAMMOCK,Community water system,Ground water,Effingham,,86,6,13,8
GA2350001,HAWKINSVILLE,Community water system,Ground water,Pulaski,HAWKINSVILLE,"6,590",6,23,8
GA0250028,HAWKS LANDING,Community water system,Ground water,Brantley,,62,6,2,4
GA0290099,HAYDEN LAKES SUBDIVISION,Community water system,Ground water,Bryan,,130,8,3,4
GA1610001,HAZLEHURST WATER SYSTEM,Community water system,Ground water,Jeff Davis,HAZLEHURST,"5,504",10,33,5
GA1490000,HEARD COUNTY WATER AUTHORITY,Community water system,Surface water,Heard,,"8,172",5,15,51
GA1050012,HEARDMONT NURSING HOME,Community water system,Ground water,Elbert,ELBERTON,60,4,34,5
GA1750017,HEART OF BUCKEYE,Community water system,Ground water,Laurens,DUBLIN,91,5,4,8
GA0510139,HEATHCOTE FARMS SUBDIVISION,Community water system,Ground water,Chatham,SAVANNAH,68,4,15,5
GA2410127,HEATHERSTONE AT FORD MOUNTAIN HOA,Community water system,Ground water,Rabun,,62,7,8,5
GA3110001,HELEN,Community water system,Surface water purchased,White,HELEN,"1,851",19,16,10
GA2710000,HELENA,Community water system,Ground water,Telfair,HELENA,"2,773",7,8,5
GA1270054,HELVESTON OAKS SUBDIVISION,Community water system,Ground water,Glynn,JEKYLL ISLAND,52,4,9,5
GA0570023,HEMBREE WATER,Community water system,Surface water purchased,Cherokee,CANTON,257,3,20,8
GA0290104,HENDERSON PARK,Community water system,Ground water,Bryan,,798,6,2,2
GA1510001,HENRY COUNTY WATER AUTHORITY,Community water system,Surface water,Henry,,"218,667",12,8,24
GA2450002,HEPHZIBAH,Community water system,Ground water,Richmond,HEPHZIBAH,"6,257",14,23,5
GA1790030,HERITAGE ESTATES,Community water system,Ground water,Liberty,,130,4,31,6
GA0030004,HERITAGE HILLS,Community water system,Ground water,Atkinson,,101,6,8,3
GA0310198,HERITAGE MOBILE HOME PARK,Community water system,Ground water,Bulloch,STATESBORO,362,7,8,6
GA2470002,HI ROC SHORES ASSOCIATION,Community water system,Ground water,Rockdale,CONYERS,655,6,51,3
GA2810050,HI-RIVER COUNTRY SUBDIVISION,Community water system,Surface water purchased,Towns,,260,4,2,3
GA2810000,HIAWASSEE,Community water system,Surface water,Towns,HIAWASSEE,"5,496",12,4,32
GA1030100,HICKORY KNOB SUBDIVISION,Community water system,Ground water,Effingham,,671,5,22,6
GA2750020,HIDDEN ACRES SUBDIVISION,Community water system,Ground water,Thomas,THOMASVILLE,84,4,3,5
GA1950012,HIDDEN FOREST SUBDIVISION,Community water system,Ground water,Madison,,47,6,13,5
GA1850061,HIDDEN HILLS SUBDIVISION,Community water system,Ground water,Lowndes,VALDOSTA,359,5,18,6
GA1230059,HIDDEN LAKE,Community water system,Ground water,Gilmer,,112,4,21,3
GA0110029,HIDDEN LAKE SUBDIVISION,Community water system,Surface water purchased,Banks,,99,3,4,6
GA1030127,HIDDEN LAKES,Community water system,Ground water,Effingham,,42,4,6,6
GA1330049,HIDDEN POINT / WHTIE OAK S/D,Community water system,Ground water,Greene,GREENSBORO,133,8,15,5
GA1470071,HIDDEN POINT SUBDIVISION,Community water system,Ground water,Hart,,73,6,4,4
GA1850065,HIDDEN VILLAGE SUBDIVISION,Community water system,Ground water,Lowndes,VALDOSTA,146,4,11,6
GA0310295,HIGH COTTON SUBDIVISION,Community water system,Ground water,Bulloch,BROOKLET,39,4,2,2
GA1910018,HIGHLAND PARK SUBDIVISION,Community water system,Ground water,McIntosh,,203,7,5,5
GA0050007,HIGHLAND PARK SUBDIVISION,Community water system,Ground water,Bacon,,65,3,6,5
GA2170094,HIGHLANDS ON HAYNES CREEK S/D,Community water system,Ground water,Newton,,237,7,10,5
GA1870099,HIGHTOWER OVERLOOK SUBDIVISION,Community water system,Ground water,Lumpkin,,73,5,1,3
GA2510048,HILLCREST HEIGHTS,Community water system,Ground water,Screven,NEWINGTON,115,4,13,7
GA2790034,HILLDALE WATER SYSTEM,Community water system,Ground water,Toombs,,88,5,15,6
GA1850076,HILLSIDE SUBDIVISION,Community water system,Ground water,Lowndes,LAKE PARK,229,6,7,5
GA0690009,HILLSIDE TRAILER PARK,Community water system,Ground water,Coffee,DOUGLAS,185,10,10,5
GA2970020,"HILLSIDE VILLAGE MHP, INC.",Community water system,Ground water,Walton,MONROE,213,5,45,5
GA0710093,HILLTOP SUBDIVISION,Community water system,Ground water,Colquitt,,38,6,0,3
GA2510000,HILTONIA,Community water system,Ground water,Screven,SYLVANIA,350,4,3,4
GA1790000,HINESVILLE,Community water system,Ground water,Liberty,HINESVILLE,"24,666",10,8,6
GA2050002,HINSONTON WATER ASSOCIATION,Community water system,Ground water,Mitchell,SALE CITY,57,4,10,7
GA2230001,HIRAM,Community water system,Ground water,Paulding,HIRAM,858,9,8,4
GA1750110,HITCHITI MOBILE HOME PARK,Community water system,Ground water,Laurens,DEXTER,100,4,10,4
GA0250000,HOBOKEN,Community water system,Ground water,Brantley,,528,8,8,4
GA0310170,HODGES SUBDIVISION,Community water system,Ground water,Bulloch,STATESBORO,44,5,8,5
GA2850000,HOGANSVILLE,Community water system,Surface water purchased,Troup,HOGANSVILLE,"3,741",8,12,35
GA0510031,HOLIDAY MOBILE HOME PARK,Community water system,Ground water,Chatham,SAVANNAH,94,4,33,6
GA1410016,HOLIDAY SHORES SUBDIVISION,Community water system,Ground water,Hancock,,752,11,13,4
GA0950011,HOLLANDS AND HATCHER S/D,Community water system,Ground water,Dougherty,ALBANY,49,4,7,4
GA0950010,HOLLANDS FOLLY SUBDIVISION  #1,Community water system,Ground water,Dougherty,ALBANY,343,6,4,4
GA0290022,HOLLY HILL SUBDIVISION,Community water system,Ground water,Bryan,,140,4,85,5
GA1750030,HOLLY HILLS SUBDIVISION,Community water system,Ground water,Laurens,DUBLIN,616,12,15,7
GA2530007,HOLLY ISLES,Community water system,Ground water,Seminole,,572,12,9,5
GA2750055,HOLLY SPRINGS SUBDIVISION,Community water system,Ground water,Thomas,,146,4,3,4
GA0490017,HOMELAND,Community water system,Ground water,Charlton,HOMELAND,925,7,42,7
GA0490020,HOMELAND ROBIN LANE WATER SYSTEM,Community water system,Ground water purchased,Charlton,,52,2,6,6
GA0110000,HOMER,Community water system,Surface water purchased,Banks,HOMER,900,13,24,7
GA0650000,HOMERVILLE,Community water system,Ground water,Clinch,HOMERVILLE,"3,260",8,15,5
GA0290083,HOPE CREEK PLANTATION,Community water system,Ground water,Bryan,,104,5,10,4
GA0310191,HORIZONS WEST SUBDIVISION,Community water system,Ground water,Bulloch,STATESBORO,216,4,23,4
GA1830062,HORSE CREEK FARMS,Community water system,Ground water,Long,LUDOWICI,400,4,2,3
GA1570002,HOSCHTON WATER SYSTEM,Community water system,Surface water purchased,Jackson,HOSCHTON,"1,877",9,22,6
GA1530021,HOUSTON COUNTY-FEAGIN MILL,Community water system,Ground water,Houston,KATHLEEN,"92,971",29,4,10
GA1530004,HOUSTON COUNTY-HAYNESVILLE,Community water system,Ground water,Houston,KATHLEEN,"1,449",10,1,6
GA1530005,HOUSTON COUNTY-HENDERSON,Community water system,Ground water,Houston,KATHLEEN,929,8,3,6
GA0710083,HOWARD KNIGHT TRAILER PARKS,Community water system,Ground water,Colquitt,MOULTRIE,55,15,4,6
GA1830044,HUCKABERRY SUBDIVISION,Community water system,Ground water,Long,,64,5,19,4
GA3110114,HUCKLEBERRY HILL SUBDIVISION,Community water system,Surface water purchased,White,HELEN,36,4,0,1
GA2790032,HUNINGTON SUBDIVISION WS,Community water system,Ground water,Toombs,VIDALIA,34,3,2,4
GA1750130,HUNTER'S POINT APARTMENTS,Community water system,Ground water,Laurens,DUBLIN,115,4,7,3
GA0510133,HUNTER'S RIDGE,Community water system,Ground water,Chatham,SAVANNAH,660,4,5,6
GA1030109,HUNTERS MILL SUBDIVISION,Community water system,Ground water,Effingham,,114,4,11,4
GA0310183,HUNTERS POINT SUBDIVISION,Community water system,Ground water,Bulloch,STATESBORO,507,6,11,6
GA1030146,HUNTER`S CHASE / ABBY LANE,Community water system,Ground water,Effingham,,211,5,3,3
GA2370093,HUNTER`S CHASE SUBDIVISION,Community water system,Ground water,Putnam,,58,5,0,3
GA2750070,HUNTER`S COVE SUBDIVISION,Community water system,Ground water,Thomas,,250,6,3,4
GA1270190,HUNTER`S POINT SUBDIVISION,Community water system,Ground water,Glynn,,260,5,0,3
GA1030119,HUNTINGTON STATION,Community water system,Ground water,Effingham,,382,8,6,4
GA1030084,HUNTS MOBILE HOME PARK,Community water system,Ground water,Effingham,RINCON,32,4,43,6
GA0070006,ICHAUWAY #2,Community water system,Ground water,Baker,,57,5,2,5
GA1930000,IDEAL,Community water system,Ground water,Macon,IDEAL,532,8,13,11
GA1950004,ILA,Community water system,Ground water,Madison,,432,6,1,5
GA1510013,INDIAN CREEK MOBILE PARK,Community water system,Ground water,Henry,,572,5,27,4
GA1330016,INDIAN HILL ESTATES SUBDIVISION,Community water system,Ground water,Greene,GREENSBORO,393,11,8,5
GA2190005,INDIAN HILLS SUBDIVISION,Community water system,Ground water,Oconee,WATKINSVILLE,86,5,11,5
GA1850068,INDIAN LAKE HEIGHTS S/D,Community water system,Ground water,Lowndes,VALDOSTA,182,6,12,4
GA0710014,INDIAN LAKE SUBDIVISION,Community water system,Ground water,Colquitt,,335,6,19,6
GA0310206,INMAN LAKES SUBDIVISION,Community water system,Ground water,Bulloch,STATESBORO,47,4,4,7
GA2530001,IRON CITY,Community water system,Ground water,Seminole,IRON CITY,463,7,10,5
GA3190002,IRWINTON,Community water system,Ground water,Wilkinson,IRWINTON,"1,878",9,11,3
GA1550000,"IRWINVILLE WATER WORKS, INC.",Community water system,Ground water,Irwin,,168,7,12,4
GA1410006,ISLAND CREEK / GLENWOOD SUBDIVISION,Community water system,Ground water,Hancock,,681,16,25,5
GA1790005,ISLE OF WIGHT,Community water system,Ground water,Liberty,,887,6,47,5
GA3190003,IVEY,Community water system,Ground water,Wilkinson,IVEY,981,7,21,5
GA1270189,IVY-THE LAKES,Community water system,Ground water,Glynn,,132,4,0,3
GA1830021,J & M RENTALS,Community water system,Ground water,Long,LUDOWICI,70,3,21,7
GA1570117,JACKSON COUNTY WATER & SEWER AUTHORITY,Community water system,Surface water purchased,Jackson,JEFFERSON,"24,957",12,18,9
GA2710001,JACKSONVILLE,Community water system,Ground water,Telfair,JACKSONVILLE,263,7,25,6
GA1910094,JACK`S BLUFF PLANTATION,Community water system,Ground water,McIntosh,,25,3,1,2
GA0990002,JAKIN,Community water system,Ground water,Early,JAKIN,252,6,14,4
GA0270009,JAMAR SUBDIVISION,Community water system,Ground water,Brooks,,107,4,6,4
GA1030134,JAMESTOWN SUBDIVISION,Community water system,Ground water,Effingham,,187,8,8,5
GA2270000,JASPER,Community water system,Surface water,Pickens,JASPER,"11,700",12,11,27
GA1590015,JASPER COUNTY WATER AND SEWER AUTHORITY,Community water system,Surface water purchased,Jasper,,"1,043",3,20,6
GA1570003,JEFFERSON,Community water system,Surface water,Jackson,JEFFERSON,"10,501",5,10,20
GA2890001,JEFFERSONVILLE,Community water system,Ground water,Twiggs,JEFFERSONVILLE,"1,904",5,50,11
GA1270028,JEKYLL ISLAND AUTHORITY,Community water system,Ground water,Glynn,JEKYLL ISLAND,"2,083",11,1,5
GA2970000,JERSEY,Community water system,Ground water,Walton,JERSEY,471,7,24,8
GA3050039,JESUP HEALTH AND RDHAB,Community water system,Ground water,Wayne,JESUP,68,4,33,4
GA3050000,JESUP WATER SYSTEM,Community water system,Ground water,Wayne,JESUP,"10,200",13,3,6
GA2870003,JIM-N-I,Community water system,Ground water,Turner,SYCAMORE,172,6,13,4
GA1910009,JOHN ALFORD SUBDIVISION,Community water system,Ground water,McIntosh,DARIEN,900,6,63,5
GA0310292,JOHNSON RUN PHASE III AND IV,Community water system,Ground water,Bulloch,STATESBORO,338,3,1,2
GA0310246,JOHNSON RUN SUBDIVISION,Community water system,Ground water,Bulloch,,318,5,1,4
GA1690027,JONES ACRES MOBILE HOME PARK,Community water system,Ground water,Jones,,169,5,7,7
GA1690001,"JONES CO.-HADDOCK WATER COMMISSION, INC.",Community water system,Ground water,Jones,HADDOCK,481,11,16,7
GA1690002,JONES COUNTY,Community water system,Surface water purchased,Jones,,"11,130",17,6,10
GA1690049,JONES COUNTY FARMS,Community water system,Ground water purchased,Jones,,71,9,6,7
GA1350011,JONES MOBILE HOME PARK,Community water system,Ground water,Gwinnett,,800,12,48,3
GA2630002,JUNCTION CITY,Community water system,Ground water,Talbot,JUNCTION CITY,156,7,58,8
GA1850333,KELSEE CROSSING,Community water system,Ground water,Lowndes,VALDOSTA,91,5,3,1
GA0710027,KENDALLWOOD CROSSING SUBDIVISION,Community water system,Ground water,Colquitt,,94,4,2,4
GA0290031,KENS MOBILE HOME PARK,Community water system,Ground water,Bryan,,28,4,23,6
GA0330044,KEYSVILLE,Community water system,Ground water,Burke,KEYSVILLE,375,4,26,4
GA2190026,KILLARNEY WEST SUBDIVISION,Community water system,Ground water,Oconee,WATKINSVILLE,99,5,10,5
GA1450016,KINGS GAP WATER SYSTEM #1,Community water system,Surface water purchased,Harris,,70,4,54,8
GA1450039,KINGS GAP WATER SYSTEM #3,Community water system,Surface water purchased,Harris,,36,3,17,7
GA1850317,KINGSGATE SUBDIVISION,Community water system,Ground water,Lowndes,,91,5,0,4
GA0390000,KINGSLAND,Community water system,Ground water,Camden,,"19,804",8,18,6
GA0690075,KINGSRIDGE SUBDIVISION,Community water system,Ground water,Coffee,,57,6,5,5
GA0150003,KINGSTON,Community water system,Ground water,Bartow,KINGSTON,"1,263",7,46,7
GA1850318,KINGSTON ESTATES SUBDIVISION,Community water system,Ground water,Lowndes,,367,5,0,4
GA2410006,KINGWOOD WATER SYSTEM,Community water system,Surface water purchased,Rabun,CLAYTON,575,6,9,4
GA1670000,KITE,Community water system,Ground water,Johnson,KITE,304,6,9,4
GA2610017,KOINONIA VILLAGE,Community water system,Ground water,Sumter,AMERICUS,78,4,112,17
GA2610013,KOINONIA-FOREST PARK,Community water system,Ground water,Sumter,AMERICUS,62,5,115,14
GA1090038,LA CASA CARMEN S/D,Community water system,Ground water,Evans,,213,6,14,6
GA2950002,LAFAYETTE,Community water system,Surface water purchased,Walker,LA FAYETTE,"18,177",17,5,28
GA2850001,LAGRANGE,Community water system,Surface water,Troup,LA GRANGE,"41,852",4,3,29
GA0570006,LAKE ARROWHEAD SUBDIVISION,Community water system,Ground water,Cherokee,,"4,844",10,22,5
GA0810064,LAKE BLACKSHEAR AREA,Community water system,Ground water,Crisp,CORDELE,"3,505",6,6,3
GA1230076,LAKE BUCKHORN,Community water system,Ground water,Gilmer,,164,9,0,0
GA1030031,LAKE CHERIE MOBILE HOME PARK,Community water system,Ground water,Effingham,RINCON,44,4,13,5
GA0310028,LAKE COLLINS ESTATES,Community water system,Ground water,Bulloch,STATESBORO,120,5,8,5
GA1790007,LAKE GEORGE SUBDIVISION,Community water system,Ground water,Liberty,,"1,089",10,16,4
GA2570029,LAKE HARBOR SHORES SUBDIVISION,Community water system,Surface water purchased,Stephens,,237,7,11,5
GA2750027,LAKE LILLIQUIN S/D,Community water system,Ground water,Thomas,THOMASVILLE,107,5,4,5
GA0290009,LAKE LORRAINE SUBDIVISION,Community water system,Ground water,Bryan,,232,9,11,4
GA1070012,LAKE LUCK WATER SYSTEM,Community water system,Ground water,Emanuel,,100,6,46,5
GA2370046,LAKE OCONEE PLANTATION S/D,Community water system,Ground water,Putnam,,198,10,13,5
GA1610021,LAKE OWL HEAD SUBDIVISION,Community water system,Ground water,Jeff Davis,,161,4,35,5
GA1790130,LAKE PAMONA,Community water system,Ground water,Liberty,,30,4,132,4
GA1850001,LAKE PARK,Community water system,Ground water,Lowndes,LAKE PARK,754,5,25,6
GA2750023,LAKE RIVERSIDE SUBDIVISION,Community water system,Ground water,Thomas,,699,6,4,4
GA1390011,LAKE SHORE FOREST SUBDIVISION,Community water system,Ground water,Hall,MURRAYVILLE,273,9,58,7
GA1730000,LAKELAND,Community water system,Ground water,Lanier,,"2,796",6,10,6
GA0310061,LAKESIDE ESTATES,Community water system,Ground water,Bulloch,STATESBORO,124,4,18,6
GA1030010,LAKESIDE FARMS / BLOOMINGDALE,Community water system,Ground water,Effingham,,993,10,7,5
GA0310245,LAKEVIEW COMMONS,Community water system,Ground water,Bulloch,,49,3,0,4
GA1770006,LAKEVIEW MOBILE HOME PARK,Community water system,Ground water,Lee,LEESBURG,83,6,18,5
GA1790104,LAKEVIEW TRAILER PARK,Community water system,Ground water,Liberty,,175,6,20,5
GA2470005,LAKEVIEW UTILITIES,Community water system,Ground water,Rockdale,CONYERS,"2,200",12,23,6
GA0690055,LAKEWOOD SUBDIVISION,Community water system,Ground water,Coffee,,109,4,3,4
GA1030108,LAKEWOOD SUBDIVISION,Community water system,Ground water,Effingham,,291,5,7,4
GA1830041,LAND OF LAKES MOBILE HOME PARK,Community water system,Ground water,Long,,45,4,14,6
GA0090046,LANDS END SUBDIVISION,Community water system,Ground water,Baldwin,,42,4,16,6
GA1170047,LANIER WOODS SUBDIVISION,Community water system,Surface water purchased,Forsyth,,182,5,31,5
GA0510034,LARCHMONT ESTATES SUBDIVISION,Community water system,Ground water,Chatham,SAVANNAH,"11,799",22,25,7
GA1470074,LAST FRONTIER SUBDIVISION,Community water system,Ground water,Hart,,52,4,21,5
GA0290094,LAUREL GROVE,Community water system,Ground water,Bryan,,122,4,5,4
GA1230060,LAUREL RIDGE,Community water system,Ground water,Gilmer,,216,6,15,1
GA2410119,LAUREL RIDGE S/D,Community water system,Ground water,Rabun,LAKEMONT,31,6,31,5
GA1110087,LAUREL SPRINGS SUBDIVISION,Community water system,Ground water,Fannin,,55,4,2,2
GA1850323,LAUREN ESTATES SUBDIVISION,Community water system,Ground water,Lowndes,,164,4,3,4
GA1190003,LAVONIA,Community water system,Surface water,Franklin,LAVONIA,"8,190",7,12,27
GA2510050,LAWTON PLACE MOBILE HOME PARK,Community water system,Ground water,Screven,NEWINGTON,200,6,8,6
GA2090014,LAZY RIVER ESTATES,Community water system,Ground water,Montgomery,,100,7,157,4
GA0370002,LEARY,Community water system,Ground water,Calhoun,LEARY,551,6,10,8
GA1770074,LEE CO.CRIMINAL JUSTICE CENTER,Community water system,Ground water,Lee,,246,5,15,5
GA1770068,LEE COUNTY UTILITIES AUTHORITY,Community water system,Ground water,Lee,LEESBURG,"18,832",22,31,7
GA1770015,LEE STATE PRISON,Community water system,Ground water,Lee,,863,5,19,5
GA1030097,LEE VILLAGE SUBDIVISION,Community water system,Ground water,Effingham,,310,7,9,6
GA0310238,LEEFIELD STATION MOBILE HOME PARK,Community water system,Ground water,Bulloch,,136,5,2,5
GA0310013,"LEEFIELD WATER ASSOC., INC.",Community water system,Ground water,Bulloch,BROOKLET,84,4,12,5
GA1770000,LEESBURG,Community water system,Ground water,Lee,LEESBURG,"3,372",10,49,5
GA1390012,LEISURE LAKE CONDO. ASSOC.INC.,Community water system,Ground water,Hall,GAINESVILLE,512,7,17,8
GA0750002,LENOX,Community water system,Ground water,Cook,,"1,043",10,77,6
GA2610003,LESLIE,Community water system,Ground water,Sumter,LESLIE,416,9,22,4
GA1310046,LEWIS ESTATES SUBDIVISION,Community water system,Ground water,Grady,CAIRO,88,4,15,4
GA2210001,LEXINGTON,Community water system,Surface water purchased,Oglethorpe,LEXINGTON,814,15,13,6
GA1790170,LIBERTY COUNTY WATER SYSTEM,Community water system,Ground water,Liberty,FORT STEWART (U.S. ARMY),910,5,1,2
GA2410133,LIFE TEEN COVECREST CAMP,Community water system,Ground water,Rabun,,332,4,1,3
GA0930001,LILLY,Community water system,Ground water,Dooly,,203,6,14,7
GA1810038,LINCOLN COUNTY WATER SYSTEM,Community water system,Surface water purchased,Lincoln,LINCOLNTON,"3,812",8,13,8
GA0290010,LINCOLN RIVER ESTATES,Community water system,Ground water,Bryan,,101,4,13,5
GA1810000,LINCOLNTON,Community water system,Surface water,Lincoln,LINCOLNTON,"1,657",4,12,25
GA1130034,LINE CREEK ESTATES,Community water system,Ground water,Fayette,,252,5,48,3
GA2170096,LITTLE HAYNES SUBDIVISION,Community water system,Ground water,Newton,,62,5,3,5
GA2470003,"LITTLE MOUNTAIN S/D, NO. 1 HOA",Community water system,Ground water,Rockdale,ELLENWOOD,61,3,13,3
GA0510124,LITTLE NECK PLANTATION,Community water system,Ground water,Chatham,SAVANNAH,111,4,11,5
GA1010001,LITTLE RIVER ESTATES MHP,Community water system,Ground water,Echols,,47,7,29,7
GA1270033,LIVE OAK MOBILE HOME PARK,Community water system,Ground water,Glynn,,72,7,41,8
GA0510111,LIVE OAK MOBILE HOME PARK,Community water system,Ground water,Chatham,SAVANNAH,55,4,19,5
GA0310014,LMB ENTERPRISES,Community water system,Ground water,Bulloch,STATESBORO,49,4,234,8
GA1850059,LOCH LAUREL MOBILE HOME PARK,Community water system,Ground water,Lowndes,VALDOSTA,65,4,20,4
GA1850054,LOCH-WINN SUBDIVISION,Community water system,Ground water,Lowndes,LAKE PARK,325,6,8,5
GA1510002,LOCUST GROVE,Community water system,Ground water,Henry,LOCUST GROVE,"5,648",10,22,4
GA1390013,LODGE HAVEN SUBDIVISION,Community water system,Ground water,Hall,,104,5,3,4
GA1350006,LOGANVILLE,Community water system,Surface water purchased,"Gwinnett, Walton",LOGANVILLE,"12,319",6,7,8
GA1990001,LONE OAK WATER SYSTEM,Community water system,Ground water,Meriwether,LONE OAK,273,6,128,9
GA1830052,LONELY  OAK SUBDIVISION,Community water system,Ground water,Long,,50,6,5,4
GA1030149,LONG ACRES RD SUBDIVISION,Community water system,Ground water,Effingham,,45,5,1,5
GA1070037,LONG BAY MOBILE HOME PARK,Community water system,Ground water,Emanuel,,31,5,4,5
GA2370055,LONG SHOALS LANDING S/D,Community water system,Ground water,Putnam,,50,6,28,5
GA1130012,LONG`S MOBILE HOME PARK,Community water system,Ground water,Fayette,,78,4,35,8
GA1630002,LOUISVILLE,Community water system,Ground water,Jefferson,,"4,965",11,13,6
GA2590010,LOUVALE COMMUNITY,Community water system,Ground water,Stewart,LUMPKIN,374,4,26,4
GA1750127,LOVETT TRAILER PARK,Community water system,Ground water,Laurens,,42,4,15,3
GA1030128,LOW GROUND FARMS SUBDIVISION,Community water system,Ground water,Effingham,,91,7,7,6
GA1850019,LOWNDES CO-SOUTH LOWNDES,Community water system,Ground water,Lowndes,LAKE PARK,"7,108",5,10,5
GA1850274,LOWNDES CO.-ALAPAHA PLANTATION S/D,Community water system,Ground water,Lowndes,LAKE PARK,296,7,77,5
GA1850322,LOWNDES CO.-CREEKSIDE WEST S/D,Community water system,Ground water,Lowndes,,567,4,5,4
GA1850016,LOWNDES CO.-NORTH LOWNDES CO. WS,Community water system,Ground water,Lowndes,LAKE PARK,"12,473",11,37,6
GA0310291,LUCY LANE,Community water system,Ground water,Bulloch,,47,3,1,2
GA1830000,LUDOWICI WATER SYSTEM,Community water system,Ground water,Long,LUDOWICI,"1,651",8,56,6
GA1390002,LULA,Community water system,Ground water,Hall,LULA,"2,860",18,23,5
GA2710002,LUMBER CITY,Community water system,Ground water,Telfair,LUMBER CITY,941,8,15,6
